"label","redshift","ebv","filename"
"SDSS J030306.70-000754.6",0.4317,0.113723665,"data/spec-0416-51811-0320.fits"
"SDSS J000052.56+153246.7",0.1175,0.06673772,"data/spec-0419-51868-0421.fits"
"SDSS J010105.73+144325.7",0.188,0.09116403,"data/spec-0421-51821-0157.fits"
"SDSS J010137.48+144117.8",0.3896,0.050367936,"data/spec-0426-51882-0590.fits"
"SDSS J020223.71+124717.7",0.0859,0.0812485,"data/spec-0427-51900-0138.fits"
"SDSS J010111.66+143922.4",0.319,0.057332978,"data/spec-0427-51900-0323.fits"
"SDSS J010100.01+135213.9",0.1973,0.054885846,"data/spec-0429-51820-0480.fits"
"SDSS J070729.66+392835.9",0.2102,0.054864448,"data/spec-0432-51884-0051.fits"
"SDSS J070730.86+394505.0",0.4872,0.055442784,"data/spec-0432-51884-0103.fits"
"SDSS J070745.87+402146.4",0.6142,0.050398536,"data/spec-0432-51884-0359.fits"
"SDSS J070724.37+384731.8",0.0969,0.045646776,"data/spec-0433-51873-0626.fits"
"SDSS J070714.63+424520.3",0.1807,0.057456773,"data/spec-0434-51885-0437.fits"
"SDSS J070714.59+395926.4",0.2479,0.057296526,"data/spec-0435-51882-0103.fits"
"SDSS J080854.24+441233.9",0.5561,0.03615166,"data/spec-0436-51883-0067.fits"
"SDSS J070707.15+461411.4",0.5936,0.060449306,"data/spec-0436-51883-0361.fits"
"SDSS J080851.16+421653.3",0.4939,0.04894561,"data/spec-0437-51869-0064.fits"
"SDSS J080824.35+464300.6",0.1206,0.07374981,"data/spec-0438-51884-0189.fits"
"SDSS J080800.20+444216.3",0.1829,0.04177752,"data/spec-0439-51877-0153.fits"
"SDSS J080823.82+524054.9",0.117,0.036123063,"data/spec-0444-51883-0154.fits"
"SDSS J080815.48+504342.3",0.4026,0.027969664,"data/spec-0445-51873-0511.fits"
"SDSS J080839.38+514512.9",0.7637,0.027308717,"data/spec-0447-51877-0190.fits"
"SDSS J090926.73+545952.2",0.4009,0.014575556,"data/spec-0450-51908-0224.fits"
"SDSS J020224.24-081140.2",0.1001,0.037251547,"data/spec-0454-51908-0628.fits"
"SDSS J020211.77-074538.4",0.3098,0.040089972,"data/spec-0455-51909-0428.fits"
"SDSS J020201.62-081913.3",0.4634,0.052195,"data/spec-0457-51901-0106.fits"
"SDSS J020240.18-082804.6",0.2682,0.031077636,"data/spec-0457-51901-0296.fits"
"SDSS J030347.01-075938.1",0.2742,0.08013733,"data/spec-0459-51924-0104.fits"
"SDSS J030328.26-072517.8",0.2075,0.08503766,"data/spec-0459-51924-0511.fits"
"SDSS J030323.14-054841.6",0.0848,0.05469172,"data/spec-0462-51909-0444.fits"
"SDSS J040401.59-065254.1",0.1705,0.08451294,"data/spec-0464-51908-0104.fits"
"SDSS J080835.09+010156.3",0.1106,0.04316956,"data/spec-0467-51901-0358.fits"
"SDSS J080856.57+013647.8",0.3498,0.036531802,"data/spec-0468-51912-0332.fits"
"SDSS J090946.93+012028.3",0.5142,0.050258018,"data/spec-0469-51913-0592.fits"
"SDSS J090914.10-002144.9",0.353,0.037794467,"data/spec-0470-51929-0167.fits"
"SDSS J090907.84+021152.2",0.3291,0.04336924,"data/spec-0471-51924-0322.fits"
"SDSS J090957.55+014327.6",0.6032,0.030655859,"data/spec-0471-51924-0599.fits"
"SDSS J090942.31+000637.1",0.5614,0.028008038,"data/spec-0472-51955-0161.fits"
"SDSS J090956.43+012002.0",0.3798,0.04153444,"data/spec-0473-51929-0027.fits"
"SDSS J090923.65+020914.8",0.5458,0.04117071,"data/spec-0473-51929-0541.fits"
"SDSS J090918.04+010144.7",0.3873,0.027416322,"data/spec-0474-52000-0416.fits"
"SDSS J090907.77+002637.1",0.1174,0.035778068,"data/spec-0475-51965-0205.fits"
"SDSS J090959.70-004946.4",0.6148,0.032507896,"data/spec-0476-52314-0095.fits"
"SDSS J090912.81+024325.7",0.5925,0.056332283,"data/spec-0477-52026-0580.fits"
"SDSS J090936.03+002104.6",0.3241,0.07726513,"data/spec-0480-51989-0044.fits"
"SDSS J090925.36+592452.7",0.0956,0.019970318,"data/spec-0485-51909-0016.fits"
"SDSS J090950.92+610255.9",0.3413,0.023632078,"data/spec-0486-51910-0154.fits"
"SDSS J101051.48+643004.2",0.4018,0.010495825,"data/spec-0489-51930-0056.fits"
"SDSS J101039.38+640924.7",0.3977,0.009162864,"data/spec-0489-51930-0088.fits"
"SDSS J111113.01+645924.8",0.0776,0.03129763,"data/spec-0490-51929-0085.fits"
"SDSS J121204.81+670320.7",0.1796,0.019071473,"data/spec-0494-51915-0070.fits"
"SDSS J131329.06+662333.1",0.2235,0.028165864,"data/spec-0496-51988-0172.fits"
"SDSS J131351.22+654113.2",0.2063,0.0198918,"data/spec-0497-51989-0076.fits"
"SDSS J141414.38+635803.8",0.1328,0.01900749,"data/spec-0499-51988-0192.fits"
"SDSS J101059.40+030202.0",0.4686,0.028922401,"data/spec-0501-52235-0523.fits"
"SDSS J101021.26+013334.5",0.1436,0.039183047,"data/spec-0502-51957-0240.fits"
"SDSS J101000.37+013653.5",0.1068,0.03830367,"data/spec-0505-52317-0134.fits"
"SDSS J101011.64+013754.5",0.1277,0.038986918,"data/spec-0505-52317-0267.fits"
"SDSS J111155.31+013548.2",0.195,0.042836946,"data/spec-0509-52374-0257.fits"
"SDSS J111112.87+030850.2",0.4605,0.04247559,"data/spec-0509-52374-0610.fits"
"SDSS J111107.33+023719.0",0.2605,0.036601834,"data/spec-0512-51992-0386.fits"
"SDSS J111144.99+024126.9",0.1283,0.021067457,"data/spec-0514-51994-0485.fits"
"SDSS J111106.16+015014.7",0.1625,0.01916763,"data/spec-0515-52051-0230.fits"
"SDSS J111114.35+032658.5",0.5748,0.0260461,"data/spec-0515-52051-0452.fits"
"SDSS J121239.40+022854.7",0.1902,0.019619849,"data/spec-0517-52024-0496.fits"
"SDSS J121235.45+022239.9",0.2132,0.020101683,"data/spec-0518-52282-0074.fits"
"SDSS J121256.47+013124.3",0.7321,0.01854795,"data/spec-0519-52283-0008.fits"
"SDSS J121221.53+014017.9",0.267,0.021546345,"data/spec-0519-52283-0258.fits"
"SDSS J121215.81+020610.0",0.4807,0.016765164,"data/spec-0520-52288-0190.fits"
"SDSS J121203.63+012233.7",0.1642,0.0156229455,"data/spec-0523-52026-0209.fits"
"SDSS J121203.36+025211.8",0.4505,0.030544588,"data/spec-0523-52026-0437.fits"
"SDSS J131342.67+014852.1",0.1439,0.030450331,"data/spec-0525-52295-0270.fits"
"SDSS J131318.81+030807.1",0.2691,0.025204457,"data/spec-0526-52312-0616.fits"
"SDSS J131339.95+030802.3",0.2409,0.02584813,"data/spec-0530-52026-0578.fits"
"SDSS J131321.85+013223.6",0.1731,0.033640146,"data/spec-0531-52028-0284.fits"
"SDSS J141431.58+021546.3",0.1797,0.03458657,"data/spec-0532-51993-0351.fits"
"SDSS J141440.07+021748.2",0.3094,0.031436287,"data/spec-0532-51993-0497.fits"
"SDSS J141437.26+012050.8",0.1381,0.045836054,"data/spec-0535-51999-0059.fits"
"SDSS J141431.29+004217.6",0.6513,0.04480505,"data/spec-0536-52024-0043.fits"
"SDSS J141434.71+014711.4",0.2673,0.044028997,"data/spec-0537-52027-0037.fits"
"SDSS J141411.29+021136.2",0.3857,0.04673518,"data/spec-0537-52027-0487.fits"
"SDSS J141439.17+022117.4",0.4821,0.04239026,"data/spec-0538-52029-0461.fits"
"SDSS J141426.24+015646.2",0.265,0.045289498,"data/spec-0538-52029-0593.fits"
"SDSS J151520.90+015159.4",0.1826,0.05131877,"data/spec-0539-52017-0552.fits"
"SDSS J070749.75+315611.9",0.2972,0.04331331,"data/spec-0541-51959-0104.fits"
"SDSS J070710.48+333353.7",0.446,0.045568842,"data/spec-0541-51959-0413.fits"
"SDSS J070705.07+324033.3",0.5321,0.04023458,"data/spec-0541-51959-0437.fits"
"SDSS J070754.90+344236.5",0.5667,0.059147783,"data/spec-0542-51993-0194.fits"
"SDSS J070754.00+342234.3",0.1499,0.04714989,"data/spec-0542-51993-0270.fits"
"SDSS J070717.03+345022.5",0.4297,0.06266685,"data/spec-0542-51993-0500.fits"
"SDSS J070705.22+381651.3",0.1789,0.049174905,"data/spec-0543-52017-0547.fits"
"SDSS J070720.98+392335.9",0.216,0.05671033,"data/spec-0544-52201-0464.fits"
"SDSS J080837.32+392633.1",0.0656,0.045533754,"data/spec-0545-52202-0250.fits"
"SDSS J080838.57+412045.4",0.5025,0.056894477,"data/spec-0545-52202-0378.fits"
"SDSS J080807.42+430427.1",0.5099,0.09023751,"data/spec-0546-52205-0527.fits"
"SDSS J080832.97+423610.5",0.2316,0.06256184,"data/spec-0546-52205-0628.fits"
"SDSS J080810.73+502146.0",0.2006,0.023228668,"data/spec-0551-51993-0157.fits"
"SDSS J090954.08+521127.5",0.0848,0.015904993,"data/spec-0552-51992-0630.fits"
"SDSS J090909.00+570019.6",0.35,0.01602466,"data/spec-0557-52253-0349.fits"
"SDSS J101008.59+600152.1",0.0511,0.009299322,"data/spec-0560-52296-0520.fits"
"SDSS J080807.07+033441.3",0.2739,0.03340484,"data/spec-0564-52224-0325.fits"
"SDSS J080805.38+024310.9",0.1882,0.036472518,"data/spec-0565-52225-0263.fits"
"SDSS J090906.39+035551.1",0.1559,0.04407002,"data/spec-0570-52266-0515.fits"
"SDSS J090914.11+034654.1",0.4215,0.040652603,"data/spec-0571-52286-0061.fits"
"SDSS J090912.60+042827.4",0.1664,0.040272977,"data/spec-0571-52286-0350.fits"
"SDSS J101016.46+034601.2",0.1887,0.02284732,"data/spec-0572-52289-0115.fits"
"SDSS J101056.59+043310.1",0.1555,0.033112984,"data/spec-0578-52339-0199.fits"
"SDSS J111158.84+034652.5",0.2544,0.0585256,"data/spec-0580-52368-0007.fits"
"SDSS J111121.96+035747.1",0.2424,0.05713709,"data/spec-0581-52356-0211.fits"
"SDSS J141457.47+035533.3",0.1816,0.027182922,"data/spec-0582-52045-0105.fits"
"SDSS J141442.41+043050.9",0.2413,0.026179075,"data/spec-0582-52045-0119.fits"
"SDSS J141418.74+034443.2",0.2525,0.028072556,"data/spec-0582-52045-0294.fits"
"SDSS J141448.33+052355.8",0.5675,0.023301,"data/spec-0582-52045-0562.fits"
"SDSS J141416.97+050417.4",0.1308,0.025313478,"data/spec-0583-52055-0466.fits"
"SDSS J151504.21+043441.7",0.1114,0.042980585,"data/spec-0590-52057-0368.fits"
"SDSS J151511.48+033100.1",0.6128,0.042496365,"data/spec-0591-52022-0166.fits"
"SDSS J151531.01+031527.7",0.2056,0.048938178,"data/spec-0593-52026-0145.fits"
"SDSS J151501.67+025217.7",0.1738,0.046713136,"data/spec-0593-52026-0151.fits"
"SDSS J111143.50+650828.6",0.1716,0.013769399,"data/spec-0599-52317-0347.fits"
"SDSS J121253.10+640510.2",0.5942,0.014811393,"data/spec-0600-52317-0045.fits"
"SDSS J121206.60+652925.1",0.1071,0.019767804,"data/spec-0600-52317-0637.fits"
"SDSS J131342.49+631641.5",0.1694,0.018444963,"data/spec-0603-52056-0070.fits"
"SDSS J131320.12+634059.9",0.1445,0.015681919,"data/spec-0603-52056-0192.fits"
"SDSS J131334.55+632430.6",0.161,0.016316654,"data/spec-0603-52056-0305.fits"
"SDSS J131335.63+631400.0",0.1563,0.020309255,"data/spec-0604-52079-0118.fits"
"SDSS J141413.75+622610.7",0.1623,0.025364438,"data/spec-0605-52353-0145.fits"
"SDSS J141447.32+602304.3",0.6072,0.011157788,"data/spec-0607-52368-0155.fits"
"SDSS J141421.68+592943.9",0.1519,0.008964789,"data/spec-0610-52056-0409.fits"
"SDSS J141444.74+605951.3",0.1834,0.011307365,"data/spec-0611-52055-0302.fits"
"SDSS J151546.56+554323.8",0.4216,0.012792417,"data/spec-0614-53437-0485.fits"
"SDSS J151511.70+535221.1",0.2898,0.015579242,"data/spec-0616-52374-0286.fits"
"SDSS J161628.22+512812.5",0.1894,0.013352561,"data/spec-0620-52375-0466.fits"
"SDSS J161650.37+445355.4",0.2228,0.014213404,"data/spec-0626-52057-0537.fits"
"SDSS J161619.15+464801.7",0.2156,0.025696054,"data/spec-0627-52144-0452.fits"
"SDSS J161635.36+420029.8",0.1312,0.012080742,"data/spec-0628-52083-0071.fits"
"SDSS J161626.91+432121.6",0.221,0.0089608915,"data/spec-0628-52083-0526.fits"
"SDSS J161632.17+431417.5",0.1468,0.009691733,"data/spec-0629-52051-0241.fits"
"SDSS J161616.64+384327.6",0.1217,0.01675174,"data/spec-0630-52050-0241.fits"
"SDSS J171751.99+385901.3",0.5959,0.027647464,"data/spec-0633-52079-0146.fits"
"SDSS J202010.41-063037.8",0.1769,0.056531012,"data/spec-0636-52176-0177.fits"
"SDSS J202036.69-053700.2",0.1252,0.059121672,"data/spec-0636-52176-0410.fits"
"SDSS J212100.60-074942.6",0.0886,0.035159368,"data/spec-0641-52199-0157.fits"
"SDSS J232302.92-103615.3",0.2223,0.03292805,"data/spec-0645-52203-0296.fits"
"SDSS J232303.76-104640.2",0.2431,0.02980558,"data/spec-0647-52553-0216.fits"
"SDSS J232343.99-090718.0",0.2689,0.034024112,"data/spec-0648-52559-0608.fits"
"SDSS J232357.77-085633.6",0.7036,0.03696704,"data/spec-0648-52559-0618.fits"
"SDSS J000006.30-094725.6",0.1668,0.034103382,"data/spec-0652-52138-0399.fits"
"SDSS J000031.45-104022.2",0.3035,0.03101412,"data/spec-0653-52145-0149.fits"
"SDSS J000027.85-084918.1",0.1888,0.037094563,"data/spec-0653-52145-0602.fits"
"SDSS J000013.75-095231.6",0.095,0.033011522,"data/spec-0656-52148-0311.fits"
"SDSS J010134.24-104605.5",0.1969,0.04338407,"data/spec-0661-52163-0257.fits"
"SDSS J010135.63-102613.1",0.1251,0.037064258,"data/spec-0661-52163-0285.fits"
"SDSS J010124.92-094516.3",0.1442,0.02997323,"data/spec-0663-52145-0102.fits"
"SDSS J010144.32-085714.9",0.1628,0.021647563,"data/spec-0665-52168-0507.fits"
"SDSS J020247.00-100152.9",0.5401,0.025482617,"data/spec-0667-52163-0135.fits"
"SDSS J020216.30-085652.2",0.2324,0.025940914,"data/spec-0668-52162-0195.fits"
"SDSS J000053.42-005038.3",0.643,0.035474982,"data/spec-0669-52559-0209.fits"
"SDSS J000051.83-010142.0",0.2689,0.031225298,"data/spec-0669-52559-0289.fits"
"SDSS J000028.82+010604.0",0.4663,0.031870082,"data/spec-0669-52559-0457.fits"
"SDSS J000011.95+005626.2",0.4094,0.026178427,"data/spec-0669-52559-0602.fits"
"SDSS J010150.48-005352.8",0.5202,0.05216445,"data/spec-0670-52520-0055.fits"
"SDSS J010115.96+002915.4",0.2021,0.036407616,"data/spec-0670-52520-0390.fits"
"SDSS J010123.61+011321.3",0.2049,0.022710538,"data/spec-0670-52520-0407.fits"
"SDSS J010148.59+003934.8",0.3144,0.035025463,"data/spec-0670-52520-0437.fits"
"SDSS J010147.78+010552.7",0.3642,0.024533564,"data/spec-0670-52520-0619.fits"
"SDSS J020214.12+004527.4",0.4214,0.035936933,"data/spec-0671-52206-0416.fits"
"SDSS J020222.59+001024.8",0.27,0.040295757,"data/spec-0671-52206-0496.fits"
